Measurement date,Station code,Item code,Average value,Instrument status
01-01-2017 00:00,123,8,63,0
01-01-2017 00:00,123,9,48,0
01-01-2017 00:00,124,1,0.006,0
01-01-2017 00:00,124,3,0.04,0
01-01-2017 00:00,124,5,1.4,0
01-01-2017 00:00,124,6,0.003,0
01-01-2017 00:00,124,8,60,0
01-01-2017 00:00,124,9,51,0
01-01-2017 00:00,125,1,0.004,0
01-01-2017 00:00,125,3,0.042,0
01-01-2017 00:00,125,5,0.9,0
01-01-2017 00:00,125,6,0.002,0
01-01-2017 00:00,125,8,68,0
01-01-2017 00:00,125,9,53,0
01-01-2017 01:00,101,1,0.004,0
01-01-2017 01:00,101,3,0.058,0
01-01-2017 01:00,101,5,1.2,0
01-01-2017 01:00,101,6,0.002,0
01-01-2017 01:00,101,8,71,0
01-01-2017 01:00,101,9,59,0
01-01-2017 01:00,102,1,0.006,0
01-01-2017 01:00,102,3,0.066,0
01-01-2017 01:00,102,5,1.4,0
01-01-2017 01:00,102,6,0.002,0
01-01-2017 01:00,102,8,76,0
01-01-2017 01:00,102,9,63,0
01-01-2017 01:00,103,1,0.004,0
01-01-2017 01:00,103,3,0.038,0
01-01-2017 01:00,103,5,1.4,0
01-01-2017 01:00,103,6,0.002,0
01-01-2017 01:00,103,8,73,0
01-01-2017 01:00,103,9,66,0
01-01-2017 01:00,104,1,0.005,0
01-01-2017 01:00,104,3,0.044,0
01-01-2017 01:00,104,5,0.6,0
01-01-2017 01:00,104,6,0.003,0
01-01-2017 01:00,104,8,82,0
01-01-2017 01:00,104,9,49,0
01-01-2017 01:00,105,1,0.005,0
01-01-2017 01:00,105,3,0.042,0
01-01-2017 01:00,105,5,0.9,0
01-01-2017 01:00,105,6,0.004,0
01-01-2017 01:00,105,8,67,0
01-01-2017 01:00,105,9,44,0
01-01-2017 01:00,106,1,0.004,0
01-01-2017 01:00,106,3,0.064,0
01-01-2017 01:00,106,5,1.5,0
01-01-2017 01:00,106,6,0.003,0
01-01-2017 01:00,106,8,70,0
01-01-2017 01:00,106,9,62,0
01-01-2017 01:00,107,1,0.004,0
